"Metabolite","KEGG_ID"
"D-sedoheptulose","C00447"
"D-sorbitol 6-phosphate","C01096"
"dTDP","C00363"
"dUMP","C00365"
"dZMP","C22441"
"enol-phenylpyruvate","C02763"
"FADH2","C01352"
"ferulate","C01494"
"FMN","C00061"
"formononetin","C00858"
"fumarate","C00122"
"galactarate","C00879"
"galactinol","C01235"
"galactitol 1-phosphate","C06311"
"galacturonate","C00333"
"gallate","C01424"
"GDP","C00035"
"genistein","C06563"
"gibberellin A3","C01699"
"glutathione","C00051"
"glutathione disulfide","C00127"
"glycine","C00037"
"glycine betaine","C00719"
"glycochenodeoxycholate","C05466"
"glycolate","C00160"
"GMP","C00144"
"guanine","C00242"
"guanosine","C00035"
"harmalol","C06537"
"heptanal","C14390"
"heptanoate","C11404"
"herniarin","C09268"
"Hexanoic acid","C00047"
"histamine","C00388"
"histidinal","C01929"
"histidinol","C00860"
"hypoglycin A","C08280"
"hypotaurine","C00519"
"hypoxanthine","C00262"
"ibuprofen","C01588"
"imidazole acetaldehyde","C05130"
"indole","C00331"
"indole acetaldehyde","C00637"
"indole-3-acetate","C00954"
"indole-3-ethanol","C00955"
"inosine","C00081"
"iridotrial","C06070"
"isoliquiritigenin","C08650"
"Isorhamnetin","C10084"
"itaconate","C00490"
"juvenile hormone III acid","C16504"
"kanosamine","C12211"
"kinetin","C08272"
"kynurenate","C01111"
"L-2-aminoadipate","C00956"
"L-4-hydroxyglutamate semialdehyde","C05938"
"L-arabinonate","C00545"
"L-arabitol","C00532"
"L-arginine","C00062"
"L-asparagine","C00152"
"L-aspartate","C00049"
"L-canaline","C08270"
"L-citrulline","C00327"
"L-cystathionine","C02291"
"L-cysteine","C00097"
"L-cysteinyl-glycine","C00051"
"L-dopa","C00355"
"L-dopachrome","C01693"
"L-glutamine","C00064"
"L-histidine","C00135"
"L-homoserine","C00263"
"linamarin","C01594"
"linoleate","C01595"
"lipoamide","C00248"
"L-kynurenine","C00328"
"L-leucine","C00123"
"L-lysine","C00047"
"L-methionine","C00019"
"L-methionine-(R)-S-oxide","C21378"
"L-octanoylcarnitine","C02838"
"L-ornithine","C00077"
"L-palmitoylcarnitine","C02990"
"L-phenylalanine","C00079"
"L-pipecolate","C00408"
"L-proline","C00148"
"L-quinate","C00296"
"L-saccharopine","C00449"
"L-serine","C00065"
"L-tryptophan","C00078"
"L-tyrosine","C00082"
"L-valine","C00183"
"L-gamma-glutamylcysteine","C00669"
"maleamate","C01596"
"maltotriose","C01835"
"mandelonitrile","C00561"
"melanin","C05606"
"melatonin","C01598"
"menadiol","C07126"
"methylmalonate semialdehyde","C00349"
"monodehydroascorbate radical","C01041"
"mycaminose","C11933"
"myristate","C05151"
"N2-formyl-N1-(5-phospho-beta-D-ribosyl)glycinamide","C04376"
"N4-(beta-N-acetyl-D-glucosaminyl)-L-asparagine","C04540"
"N6-acetyl-L-lysine","C01997"
"N6-dimethylallyladenine","C04083"
"N-acetyl-L-citrulline","C15532"
"N-acetyl-L-glutamate","C00624"
"N-acetyl-L-glutamate 5-semialdehyde","C01250"
"N-acetylneuraminate","C00128"
"N-acetylputrescine","C02714"
"N-acetyl-alpha-D-glucosamine","C00043"
"NADH","C00004"
"naringenin","C00509"
"N-benzylformamide","C15561"
"N-carbamoyl-L-aspartate","C00438"
"N-carbamoylputrescine","C00436"
"Nervonic acid","C08323"
"N-formimino-L-glutamate","C00439"
"N-formylkynurenine","C02700"
"N-hydroxy-L-isoleucine","C20310"
"N-hydroxyl-tryptamine","C17203"
"N-hydroxy-L-valine","C20313"
"nicotinamide","C00003"
"nicotinate","C00253"
"Nivalenol","C06080"
"N-methylethanolamine phosphate","C01210"
"N-methylhydantoin","C02565"
"Nonanoic acid","C01037"
"N-phenylacetamide","C07565"
"O-acetylcarnitine","C02571"
"O-acetyl-L-serine","C00979"
"octanal","C01545"
"octanoate","C04780"
"oleamide","C19670"
"O-phosphoethanolamine","C00346"
"O-phospho-L-homoserine","C01102"
"ophthalmate","C21016"
"orotate","C00295"
"O-succinyl-L-homoserine","C01118"
"oxalosuccinate","C05379"
"palmitate","C00249"
"pantetheine","C00831"
"phenol","C00102"
"phenylacetaldehyde","C00601"
"phenylacetate","C00544"
"phenylglyoxylate","C02137"
"phlorisobutyrophenone","C07351"
"phloroglucinol","C02183"
"phosphate","C00002"
"phytosphingosine","C12144"
"Piceatannol","C05901"
"picolinate","C03340"
"pinoresinol","C05366"
"porphobilinogen","C00931"
"portulacaxanthin II","C08565"
"preQ0","C15996"
"preQ1","C16675"
"propanoyl phosphate","C01308"
"Prunin","C09099"
"pseudouridine","C01168"
"pyridoxal","C00018"
"pyridoxamine","C00534"
"pyridoxamine 5'-phosphate","C00647"
"pyridoxine","C00314"
"pyrimidine","C00396"
"pyruvate","C00022"
"quercetin","C00389"
"queuine","C01449"
"riboflavin","C00061"
"rosmarinate","C01850"
"S-acetyldihydrolipoamide","C01136"
"S-allyl-L-cysteine","C16759"
"scoparone","C09311"
"scopoletin","C01752"
"secologanin","C01852"
"shikimate 3-phosphate","C03175"
"sinapyl alcohol","C02325"
"S-methyl-5'-thioadenosine","C00170"
"sn-glycero-3-phosphocholine","C00157"
"sn-glycerol 1-phosphate","C00093"
"spermidine","C00315"
"sphingosine 1-phosphate","C01120"
"S-sulfo-L-cysteine","C05824"
"stearate","C00869"
"succinate","C00042"
"sulfamate","C01614"
"sulfate","C00053"
"sulfoacetaldehyde","C00593"
"tartronate semialdehyde","C01146"
"taurine","C00245"
"taurocholate","C05122"
"taxifolin","C01617"
"tetrahydrofolate","C00101"
"thiosulfate","C00320"
"thymidine","C00214"
"thymine","C00178"
"trans-homoaconitate","C16579"
"tryptamine","C00398"
"tuberonic acid glucoside","C08558"
"UDP-N-acetyl-alpha-D-glucosamine","C00043"
"UDP-alpha-D-glucuronate","C00167"
"umbelliferone","C03081"
"UMP","C00105"
"uracil","C00106"
"urate","C00366"
"urocanate","C00785"
"vernolate","C19097"
"xanthine","C00262"
"xanthosine","C00655"
"XMP","C00655"
"Zearalenone","C09981"
"alpha-D-galactose","C00052"
"alpha-D-quinovopyranose","C08352"
"alpha-linolenate","C06427"
"alpha-maltose","C00897"
"beta-alanine","C00099"
"beta-alanine betaine","C08263"
"beta-D-ribosylnicotinate","C05841"
"beta-nicotinamide D-ribonucleotide","C00455"
"gamma-butyrobetaine","C01181"
"gamma-L-glutamyl-D-alanine","C03738"
"gamma-L-glutamyl-L-cysteine","C00669"
"beta-D-ribofuranose","C16639"
"beta-D-glucopyranose","C00221"
"alpha-D-ribose-1-phosphate","C16637"
"N-acetyl-beta-D-glucosamine","C00611"
"methionine S-oxide","C02989"
"maackiain","C10502"
"IMP","C00130"
"allantoin","C01551"
"a hexosamine","C02711"
"a biopterin","C00272"
"a 7-isopropyl-4-methyloxepan-2-one","C18027"
"5-aminolevulinate","C00430"
"4-hydroxy-4-methyl-2-oxoglutarate","C06033"
"3-phosphooxypyruvate","C03232"
"3-hydroxy-3-methyl-2-oxopentanoate","C04237"
"2-hydroxy-2-methylbutanenitrile","C18796"
"(8S)-8-amino-7-oxononanoate","C22463"
"(5R)-6-hydroxy-5-isopropenyl-2-methylhexanoate","C11406"
"pipecolate","C00408"
"N-acetyl-L-methionine","C02712"
"a heptitol","C08255"
"2-oxo-3-phenylpropanoate","C00166"
"(2R)-2-hydroxy-2-methylbutanenitrile","C18796"
"(R)-3-(4-hydroxyphenyl)lactate","C03964"
"(R)-4'-phosphopantothenate","C03492"
"(R)-mevalonate","C00418"
"(R)-pantolactone","C01012"
"(R)-S-lactoylglutathione","C03451"
"(S)-1-pyrroline-5-carboxylate","C03912"
"(S)-2-hydroxyglutarate","C03196"
"(S)-3-methyl-2-oxopentanoate","C00671"
"(S)-dihydroorotate","C00337"
"(S)-nicotine","C00745"
"(S)-piperidine-2-carboxamide","C19809"
"(Z)-phenylacetaldehyde oxime","C16075"
"17beta-estradiol","C03935"
"1-amino-1-deoxy-scyllo-inositol","C01214"
"1-deoxy-D-xylulose 5-phosphate","C11437"
"2-amino-4-oxopentanoate","C03341"
"2-aminomuconate 6-semialdehyde","C03824"
"2-dehydro-3-deoxy-L-arabinonate","C00684"
"2-iminosuccinate","C05840"
"2-isopropylmaleate","C02631"
"2-methyleneglutarate","C02930"
"2-oxo-3-hydroxy-4-phosphobutanoate","C06054"
"2-oxoadipate","C00322"
"2-oxopent-4-enoate","C00596"
"2-thiouridine","C11478"
"3-carene","C09839"
"3-hydroxyanthranilate","C00632"
"3-hydroxybutanoate","C01089"
"3-oxoadipate","C00846"
"4-acetamidobutanal","C05936"
"4-aminobutanoate","C00334"
"4-hydroxy-2-oxoglutarate","C01127"
"4-hydroxy-2-oxopentanoate","C03589"
"4-hydroxy-L-glutamate","C03079"
"4-hydroxyphenylpyruvate","C01179"
"5-aminopentanamide","C00990"
"5-dehydro-4-deoxy-D-glucarate","C00679"
"6-hydroxynicotinate","C01020"
"6-phospho-2-dehydro-D-gluconate","C01218"
"7-deoxyloganetate","C20789"
"8-oxo-dGTP","C19967"
"a 3-isopropenyl-6-oxoheptanoate","C11405"
"a 6-hydroxy-5-isopropenyl-2-methylhexanoate","C11406"
"a carvone","C01767"
"a jasmonate","C08491"
"a menthone","C00843"
"a methyl farnesoate","C16503"
"all-trans-3-hydroxyretinal","C18196"
"arachidonate","C00219"
"ATP","C00002"
"bacillosamine","C04630"
"citraconate","C02226"
"coumarinate","C05838"
"CTP","C00063"
"D-aspartate","C00402"
"dCMP","C00239"
"deoxynivalenol","C09747"
"D-galactosamine","C00203"
"dGDP","C00361"
"D-glutamate","C00217"
"dGMP","C00362"
"dihydrophloroglucinol","C06719"
"dihydrozeatin","C02029"
"DIMBOA","C04720"
"diphosphate","C00008"
"D-lysine","C00739"
"D-mannitol 1-phosphate","C00644"
"D-mannonate","C00514"
"dopaquinone","C00822"
"dopaxanthin","C08543"
"D-pinitol","C03844"
"D-ribulose","C00199"
"ent-kaur-16-en-19-oate","C11874"
"glutarate","C00026"
"glutarate semialdehyde","C00433"
"glycerol 1-phosphate","C00093"
"harmaline","C06536"
"isochorismate","C00885"
"isopentenyl phosphate","C00129"
"L-2-amino-3-oxobutanoate","C03508"
"L-carnitine","C00318"
"leukotriene B4","C02165"
"L-fuculose","C01099"
"L-isoleucine","C00407"
"lotaustralin","C08334"
"L-rhamnulose 1-phosphate","C01131"
"L-threonine","C00188"
"malonate","C00222"
"maltohexaose","C01936"
"maltotetraose","C02052"
"Methylimidazoleacetic acid","C05828"
"N2-succinyl-L-ornithine","C03415"
"N-Acetyl-L-methionine","C02712"
"nornicotine","C06524"
"O-acetyl-L-homoserine","C01077"
"oleate","C00712"
"Palmitoleic acid","C08362"
"phlorisovalerophenone","C07350"
"protocatechuate","C00230"
"purine","C00147"
"pyrogallol","C01108"
"sepiapterin","C00835"
"shikimate","C00493"
"sinapaldehyde","C05610"
"S-methyl-5-thio-D-ribose","C03089"
"streptidine 6-phosphate","C01121"
"succinate semialdehyde","C00232"
"trans-4-hydroxy-L-proline","C01157"
"trans-5-O-(4-coumaroyl)-D-quinate","C12208"
"trans-cinnamate","C00423"
"tuberonic acid","C08558"
"UDP","C00015"
"UDP-D-glucose","C00029"
"UDP-N-acetyl-alpha-D-galactosamine","C00203"
"uridine","C00015"
"UTP","C00075"
"xanthohumol","C16416"
"xylitol","C00379"
"alpha-D-mannose 1-phosphate","C00636"
"beta-D-mannose","C02209"
"4-Aminobenzoate","C00568"
"5-Oxoproline","C01879"
"Arginine","C00062"
"Aspartic acid","C00049"
"Proline","C00148"
"Sucrose","C00089"
"D-Gluconic acid","C00204"
"L-2-Aminoadipate","C00956"
"Linoleic acid","C01595"
"Lysine","C00047"
"Methionine","C00019"
"Myristic acid","C06424"
"Octadecanoic acid","C00869"
"Oleic acid","C00712"
"Palmitic Acid","C00249"
"Phenylalanine","C00079"
"Tyrosine","C00082"
